match_id,current_score,display_score,period_1,period_2,period_3,period_4,period_5,period_1_tie_break,period_2_tie_break,period_3_tie_break,period_4_tie_break,period_5_tie_break,normal_time
11673958,2,2,6,6,,,,,,,,,
11673962,,,,,,,,,,,,,
11673963,0,0,6,4,,,,,,,,,
11673993,2,2,4,6,6,,,,,,,,
11674000,1,1,6,2,,,,,,,,,
11674008,1,1,6,4,3,,,,,,,,
11674011,2,2,6,6,6,,,,,,,,
11674026,2,2,6,6,,,,,,,,,
11674032,1,1,4,6,3,,,,,,,,
11674034,0,0,5,3,,,,,,,,,
11674074,0,0,5,1,,,,,,,,,
11674103,0,0,4,2,,,,,,,,,
11674105,1,1,7,6,6,,,10,2,3,,,
11674110,2,2,6,6,,,,,,,,,
11674111,2,2,6,6,,,,,,,,,
11674112,0,0,1,6,,,,,6,,,,
11674113,2,2,5,6,6,,,,,,,,
11674114,2,2,6,4,6,,,,,,,,
11675440,2,2,6,3,6,,,,,,,,
11675443,1,1,1,7,3,,,,7,,,,
11675444,0,0,2,2,,,,,,,,,
11675445,2,2,6,3,6,,,,,,,,
11675446,2,2,6,7,,,,,,,,,
11675447,0,0,4,2,,,,,,,,,
11675448,2,2,1,7,7,,,,,9,,,
11675449,1,1,7,2,1,,,7,,,,,
11675450,2,2,6,6,,,,,,,,,
11686269,0,0,2,6,,,,,5,,,,
11686272,0,0,1,,,,,,,,,,
11686275,,,,,,,,,,,,,
11686276,2,2,6,7,,,,,,,,,
11686281,2,2,2,6,6,,,,,,,,
11688311,,,,,,,,,,,,,
11696863,2,2,6,6,,,,,,,,,
11697105,2,2,5,6,6,,,,,,,,
11697107,0,0,1,2,,,,,,,,,
11697108,1,1,6,4,4,,,,,,,,
11697110,2,2,6,6,,,,,,,,,
11697112,2,2,6,6,,,,,,,,,
11697113,1,1,7,5,3,,,8,,,,,
11697117,2,2,6,7,,,,,7,,,,
11697118,0,0,0,3,,,,,,,,,
11697119,0,0,4,3,,,,,,,,,
11697120,2,2,1,6,7,,,,,10,,,
11697121,0,0,0,0,,,,,,,,,
11697122,2,2,7,6,,,,,,,,,
11697123,2,2,1,6,6,,,,,,,,
11697124,0,0,2,2,,,,,,,,,
11697126,2,2,6,6,,,,,,,,,
11697152,0,0,6,4,,,,5,,,,,
11697216,2,2,7,7,,,,8,7,,,,
11697223,1,1,1,6,4,,,,,,,,
11697237,2,2,6,6,,,,,,,,,
11697262,0,0,3,5,,,,,,,,,
11697278,1,1,6,0,2,,,,,,,,
11697304,2,2,6,6,,,,,,,,,
11697306,2,2,6,6,,,,,,,,,
11697309,2,2,6,6,,,,,,,,,
11697316,0,0,5,4,,,,,,,,,
11698042,2,2,6,6,,,,,,,,,
11698055,2,2,7,6,6,,,8,0,,,,
11698354,0,0,0,6,,,,,,,,,
11698355,2,2,4,7,10,,,,,,,,
11698356,0,0,4,5,,,,,,,,,
11698357,0,0,3,2,,,,,,,,,
11698358,2,2,6,6,,,,,,,,,
11698359,0,0,0,2,,,,,,,,,
11698360,2,2,6,5,10,,,,,,,,
11698361,0,0,4,0,,,,,,,,,
11698362,0,0,4,2,,,,,,,,,
11698363,0,0,0,0,,,,,,,,,
11698364,0,0,2,0,,,,,,,,,
11698365,2,2,6,6,,,,,,,,,
11698366,2,2,7,0,10,,,,,,,,
11698367,2,2,6,6,,,,,,,,,
11698368,0,0,3,2,,,,,,,,,
11698369,2,2,6,6,,,,,,,,,
11698370,0,0,2,1,,,,,,,,,
11698371,2,2,6,6,,,,,,,,,
11698372,0,0,4,4,,,,,,,,,
11698373,2,2,2,6,10,,,,,,,,
11698374,0,0,1,0,,,,,,,,,
11698375,2,2,6,6,,,,,,,,,
11698376,2,2,6,2,13,,,,,,,,
11698377,2,2,6,6,,,,,,,,,
11698378,2,2,6,6,,,,,,,,,
11698379,2,2,6,3,6,,,,,,,,
11698395,2,2,6,3,6,,,,,,,,
11698397,2,2,6,6,,,,,,,,,
11698398,2,2,2,6,6,,,,,,,,
11698399,2,2,6,6,,,,,,,,,
11698400,2,2,6,7,,,,,7,,,,
11698401,2,2,6,6,,,,,,,,,
11698402,0,0,4,2,,,,,,,,,
11698403,0,0,3,0,,,,,,,,,
11698476,2,2,6,6,,,,,,,,,
11698477,2,2,6,6,,,,,,,,,
11698544,2,2,6,3,6,,,,,,,,
11698550,2,2,6,5,6,,,,,,,,
11698683,0,0,1,3,,,,,,,,,
