match_id,current_score,display_score,period_1,period_2,period_3,period_4,period_5,period_1_tie_break,period_2_tie_break,period_3_tie_break,period_4_tie_break,period_5_tie_break,normal_time
11673958,0,0,2,4,,,,,,,,,
11673962,,,,,,,,,,,,,
11673963,2,2,7,6,,,,,,,,,
11673993,1,1,6,1,1,,,,,,,,
11674000,0,0,4,1,,,,,,,,,
11674008,2,2,4,6,6,,,,,,,,
11674011,1,1,2,7,3,,,,,,,,
11674026,0,0,4,1,,,,,,,,,
11674032,2,2,6,4,6,,,,,,,,
11674034,2,2,7,6,,,,,,,,,
11674074,2,2,7,6,,,,,,,,,
11674103,2,2,6,6,,,,,,,,,
11674105,2,2,6,7,7,,,8,7,7,,,
11674110,0,0,3,4,,,,,,,,,
11674111,0,0,4,2,,,,,,,,,
11674112,2,2,6,7,,,,,8,,,,
11674113,1,1,7,4,2,,,,,,,,
11674114,1,1,4,6,3,,,,,,,,
11675440,1,1,4,6,1,,,,,,,,
11675443,2,2,6,6,6,,,,5,,,,
11675444,2,2,6,6,,,,,,,,,
11675445,1,1,4,6,2,,,,,,,,
11675446,0,0,3,5,,,,,,,,,
11675447,2,2,6,6,,,,,,,,,
11675448,1,1,6,5,6,,,,,7,,,
11675449,2,2,6,6,6,,,4,,,,,
11675450,0,0,2,0,,,,,,,,,
11686269,2,2,6,7,,,,,7,,,,
11686272,0,0,3,,,,,,,,,,
11686275,,,,,,,,,,,,,
11686276,0,0,4,5,,,,,,,,,
11686281,1,1,6,3,4,,,,,,,,
11688311,,,,,,,,,,,,,
11696863,0,0,1,3,,,,,,,,,
11697105,1,1,7,1,2,,,,,,,,
11697107,2,2,6,6,,,,,,,,,
11697108,2,2,3,6,6,,,,,,,,
11697110,0,0,1,2,,,,,,,,,
11697112,0,0,4,2,,,,,,,,,
11697113,2,2,6,7,6,,,6,,,,,
11697117,0,0,4,6,,,,,4,,,,
11697118,2,2,6,6,,,,,,,,,
11697119,2,2,6,6,,,,,,,,,
11697120,1,1,6,4,6,,,,,8,,,
11697121,1,1,6,3,,,,,,,,,
11697122,0,0,5,3,,,,,,,,,
11697123,1,1,6,4,1,,,,,,,,
11697124,2,2,6,6,,,,,,,,,
11697126,0,0,4,3,,,,,,,,,
11697152,2,2,7,6,,,,7,,,,,
11697216,0,0,6,6,,,,6,4,,,,
11697223,2,2,6,3,6,,,,,,,,
11697237,0,0,3,2,,,,,,,,,
11697262,2,2,6,7,,,,,,,,,
11697278,2,2,2,6,6,,,,,,,,
11697304,0,0,3,2,,,,,,,,,
11697306,0,0,4,3,,,,,,,,,
11697309,0,0,4,2,,,,,,,,,
11697316,2,2,7,6,,,,,,,,,
11698042,0,0,3,4,,,,,,,,,
11698055,1,1,6,7,0,,,6,7,,,,
11698354,2,2,6,7,,,,,,,,,
11698355,1,1,6,6,6,,,,,,,,
11698356,2,2,6,7,,,,,,,,,
11698357,2,2,6,6,,,,,,,,,
11698358,0,0,0,0,,,,,,,,,
11698359,2,2,6,6,,,,,,,,,
11698360,1,1,4,7,2,,,,,,,,
11698361,2,2,6,6,,,,,,,,,
11698362,2,2,6,6,,,,,,,,,
11698363,2,2,6,6,,,,,,,,,
11698364,2,2,6,6,,,,,,,,,
11698365,0,0,1,0,,,,,,,,,
11698366,1,1,5,6,3,,,,,,,,
11698367,0,0,0,1,,,,,,,,,
11698368,2,2,6,6,,,,,,,,,
11698369,0,0,1,1,,,,,,,,,
11698370,2,2,6,6,,,,,,,,,
11698371,0,0,4,3,,,,,,,,,
11698372,2,2,6,6,,,,,,,,,
11698373,1,1,6,4,7,,,,,,,,
11698374,2,2,6,6,,,,,,,,,
11698375,0,0,0,3,,,,,,,,,
11698376,1,1,3,6,11,,,,,,,,
11698377,0,0,4,1,,,,,,,,,
11698378,0,0,0,0,,,,,,,,,
11698379,1,1,2,6,3,,,,,,,,
11698395,1,1,4,6,2,,,,,,,,
11698397,0,0,2,2,,,,,,,,,
11698398,1,1,6,3,2,,,,,,,,
11698399,0,0,3,4,,,,,,,,,
11698400,0,0,2,6,,,,,5,,,,
11698401,0,0,2,4,,,,,,,,,
11698402,2,2,6,6,,,,,,,,,
11698403,2,2,6,6,,,,,,,,,
11698476,0,0,4,4,,,,,,,,,
11698477,0,0,4,2,,,,,,,,,
11698544,1,1,2,6,2,,,,,,,,
11698550,1,1,3,7,3,,,,,,,,
11698683,2,2,6,6,,,,,,,,,
11698735,0,0,0,0,,,,,,,,,
11698749,0,0,3,3,,,,,,,,,
11698757,2,2,6,4,7,,,,,,,,
11698861,0,0,4,4,,,,,,,,,
11698870,1,1,1,6,6,,,,,,,,
11698871,0,0,3,0,,,,,,,,,
11698872,2,2,6,6,,,,,,,,,
11698873,,,,,,,,,,,,,
11698874,0,0,6,5,,,,,,,,,
11698875,1,1,6,4,5,,,,,,,,
11698876,0,0,1,1,,,,,,,,,
11698877,2,2,6,6,,,,,,,,,
11698878,0,0,0,0,,,,,,,,,
11698879,2,2,6,7,,,,,,,,,
11698880,,,,,,,,,,,,,
11698881,2,2,6,6,,,,,,,,,
11698882,1,1,3,6,4,,,,,,,,
11698883,2,2,6,6,,,,,,,,,
11698884,2,2,6,6,,,,,,,,,
11698885,2,2,6,6,,,,,,,,,
11698931,1,1,6,1,6,,,,,,,,
11698932,0,0,1,2,,,,,,,,,
11698933,0,0,0,0,,,,,,,,,
11698934,2,2,6,6,,,,,,,,,
11698935,0,0,4,3,,,,,,,,,
11698936,0,0,0,1,,,,,,,,,
11698937,2,2,6,6,,,,,,,,,
11698938,2,2,6,7,,,,,,,,,
11698939,2,2,6,6,,,,,,,,,
11698940,2,2,6,6,,,,,,,,,
11698941,,,3,,,,,,,,,,
11698942,2,2,6,6,,,,,,,,,
11698943,2,2,6,7,,,,,,,,,
11698944,0,0,1,1,,,,,,,,,
11698945,2,2,6,6,,,,,,,,,
11698946,2,2,6,6,,,,,,,,,
11698947,2,2,6,6,,,,,,,,,
11698949,0,0,0,4,,,,,,,,,
11698950,0,0,1,0,,,,,,,,,
11698951,2,2,7,7,,,,,,,,,
11698952,2,2,6,6,,,,,,,,,
11698953,1,1,6,3,11,,,,,,,,
11698954,2,2,6,6,,,,,,,,,
