match_id,round_id,name,slug,cup_round_type
11673958,28,Semifinal,semifinal,2
11673962,29,Final,final,1
11673963,28,Semifinal,semifinal,2
11673993,29,Final,final,1
11674000,28,Semifinal,semifinal,2
11674008,28,Semifinal,semifinal,2
11674011,29,Final,final,1
11674026,28,Semifinal,semifinal,2
11674032,29,Final,final,1
11674034,28,Semifinal,semifinal,2
11674074,29,Final,final,1
11674103,5,Round of 16,round-of-16,8
11674105,28,Semifinal,semifinal,2
11674110,27,Quarterfinal,quarterfinal,4
11674111,28,Semifinal,semifinal,2
11674112,27,Quarterfinal,quarterfinal,4
11674113,27,Quarterfinal,quarterfinal,4
11674114,27,Quarterfinal,quarterfinal,4
11675440,27,Quarterfinal,quarterfinal,4
11675443,27,Quarterfinal,quarterfinal,4
11675444,5,Round of 16,round-of-16,8
11675445,27,Quarterfinal,quarterfinal,4
11675446,5,Round of 16,round-of-16,8
11675447,27,Quarterfinal,quarterfinal,4
11675448,5,Round of 16,round-of-16,8
11675449,5,Round of 16,round-of-16,8
11675450,5,Round of 16,round-of-16,8
11686269,6,Round of 32,round-of-32,16
11686272,6,Round of 32,round-of-32,16
11686275,6,Round of 32,round-of-32,16
11686276,6,Round of 32,round-of-32,16
11686281,6,Round of 32,round-of-32,16
11688311,5,Round of 16,round-of-16,8
11696863,28,Semifinal,semifinal,2
11697105,32,Round of 64,round-of-64,
11697107,32,Round of 64,round-of-64,
11697108,32,Round of 64,round-of-64,
11697110,32,Round of 64,round-of-64,
11697112,32,Round of 64,round-of-64,
11697113,32,Round of 64,round-of-64,
11697117,32,Round of 64,round-of-64,
11697118,32,Round of 64,round-of-64,
11697119,32,Round of 64,round-of-64,
11697120,32,Round of 64,round-of-64,
11697121,32,Round of 64,round-of-64,
11697122,32,Round of 64,round-of-64,
11697123,32,Round of 64,round-of-64,
11697124,32,Round of 64,round-of-64,
11697126,32,Round of 64,round-of-64,
11697152,28,Semifinal,semifinal,2
11697216,28,Semifinal,semifinal,2
11697223,28,Semifinal,semifinal,2
11697237,28,Semifinal,semifinal,2
11697262,28,Semifinal,semifinal,2
11697278,28,Semifinal,semifinal,2
11697304,28,Semifinal,semifinal,2
11697306,28,Semifinal,semifinal,2
11697309,28,Semifinal,semifinal,2
11697316,28,Semifinal,semifinal,2
11698042,28,Semifinal,semifinal,2
11698055,29,Final,final,1
11698379,29,Final,final,1
11698395,32,Round of 64,round-of-64,
11698397,32,Round of 64,round-of-64,
11698398,32,Round of 64,round-of-64,
11698399,32,Round of 64,round-of-64,
11698400,32,Round of 64,round-of-64,
11698401,32,Round of 64,round-of-64,
11698402,32,Round of 64,round-of-64,
11698403,29,Final,final,1
11698476,29,Final,final,1
11698477,29,Final,final,1
11698544,29,Final,final,1
11698550,29,Final,final,1
11698683,29,Final,final,1
11698735,29,Final,final,1
11698749,29,Final,final,1
11698757,29,Final,final,1
11698861,29,Final,final,1
11699062,1,Qualification round 1,qualification-round-1,
11699063,1,Qualification round 1,qualification-round-1,
11699064,1,Qualification round 1,qualification-round-1,
11699065,1,Qualification round 1,qualification-round-1,
11699067,1,Qualification round 1,qualification-round-1,
11699068,1,Qualification round 1,qualification-round-1,
11699069,1,Qualification round 1,qualification-round-1,
11699070,1,Qualification round 1,qualification-round-1,
11699071,1,Qualification round 1,qualification-round-1,
11699072,1,Qualification round 1,qualification-round-1,
11699073,1,Qualification round 1,qualification-round-1,
11699074,1,Qualification round 1,qualification-round-1,
11699083,6,Round of 32,round-of-32,16
11699084,6,Round of 32,round-of-32,16
11699097,29,Final,final,1
11699173,29,Final,final,1
11699221,1,Qualification round 1,qualification-round-1,
11699222,1,Qualification round 1,qualification-round-1,
11699224,1,Qualification round 1,qualification-round-1,
11699226,1,Qualification round 1,qualification-round-1,
11699227,1,Qualification round 1,qualification-round-1,
11699228,1,Qualification round 1,qualification-round-1,
11699231,1,Qualification round 1,qualification-round-1,
11699235,1,Qualification round 1,qualification-round-1,
11699236,1,Qualification round 1,qualification-round-1,
11699241,1,Qualification round 1,qualification-round-1,
11699270,1,Qualification round 1,qualification-round-1,
11699271,1,Qualification round 1,qualification-round-1,
11699296,29,Final,final,1
11699334,6,Round of 32,round-of-32,16
11699341,1,Qualification round 1,qualification-round-1,
11699342,1,Qualification round 1,qualification-round-1,
11699343,1,Qualification round 1,qualification-round-1,
11699344,1,Qualification round 1,qualification-round-1,
11699345,1,Qualification round 1,qualification-round-1,
11699346,1,Qualification round 1,qualification-round-1,
11699347,1,Qualification round 1,qualification-round-1,
11699348,1,Qualification round 1,qualification-round-1,
11699349,1,Qualification round 1,qualification-round-1,
11699350,1,Qualification round 1,qualification-round-1,
11699351,1,Qualification round 1,qualification-round-1,
11699352,1,Qualification round 1,qualification-round-1,
11699361,29,Final,final,1
11699386,29,Final,final,1
11699387,1,Qualification round 1,qualification-round-1,
11699388,1,Qualification round 1,qualification-round-1,
11699389,1,Qualification round 1,qualification-round-1,
11699390,1,Qualification round 1,qualification-round-1,
11699391,1,Qualification round 1,qualification-round-1,
11699392,1,Qualification round 1,qualification-round-1,
