match_id,period_1,period_2,period_3,period_4,period_5,current_period_start_timestamp
11673958,1960,2457,,,,1696097817
11673962,,,,,,1696176527
11673963,3403,2431,,,,1696091852
11673993,2894,2309,2084,,,1696160248
11674000,3177,,,,,1696089777
11674008,3419,3438,3320,,,1696099675
11674011,1960,3475,2040,,,1696178502
11674026,2130,1702,,,,1696092102
11674032,3216,2694,2561,,,1696179281
11674034,3071,3039,,,,1696085170
11674074,3242,1828,,,,1696132988
11674103,2422,1799,,,,1696081436
11674105,3740,3341,3245,,,1696246599
11674110,2346,2175,,,,1696142912
11674111,2324,1869,,,,1696253211
11674112,1603,4639,,,,1696155029
11674113,3204,2820,2783,,,1696168212
11674114,1993,2142,1923,,,1696150322
11675440,2724,2484,2347,,,1696226924
11675443,1411,3855,3022,,,1696236000
11675444,2354,2514,,,,1696150218
11675445,2941,2989,3106,,,1696258105
11675446,2619,2885,,,,1696162986
11675447,3294,2994,,,,1696250036
11675448,1995,3777,4878,,,1696147708
11675449,4422,2602,2195,,,1696097068
11675450,2455,1580,,,,1696156129
11686269,1914,4476,,,,1696223569
11686272,,,,,,1696236998
11686275,,,,,,1696226184
11686276,2506,3236,,,,1696242208
11686281,2129,2378,3224,,,1696232740
11688311,,,,,,
11696863,1157,2287,,,,1696077065
11697105,3141,1779,2955,,,1696085842
11697107,1403,2620,,,,1696143961
11697108,3675,3706,3414,,,1696137094
11697110,1446,2189,,,,1696248526
11697112,2508,2557,,,,1696161124
11697113,4280,3485,3358,,,1696174972
11697117,2810,4410,,,,1696137952
11697118,2132,2929,,,,1696152519
11697119,2725,2828,,,,1696224357
11697120,1734,3498,4869,,,1696232085
11697121,1539,1003,,,,1696217696
11697122,2726,2214,,,,1696242912
11697123,1682,2930,1776,,,1696139729
11697124,2293,2939,,,,1696137573
11697126,2977,2658,,,,1696224111
11697152,3943,2763,,,,1696086974
11697216,2874,3172,,,,1696082999
11697223,1970,3107,2942,,,1696095730
11697237,2996,3009,,,,1696082636
11697262,2395,3898,,,,1696088931
11697278,2163,1892,2405,,,1696105618
11697304,3198,3575,,,,1696090765
11697306,2799,2416,,,,1696098422
11697309,3946,3168,,,,1696083382
11697316,3261,3032,,,,1696108047
11698042,2291,3544,,,,1696100129
11698055,3881,2701,1200,,,1696129401
11698354,,,,,,
11698355,,,,,,
11698356,,,,,,
11698357,,,,,,
11698358,,,,,,
11698359,,,,,,
11698360,,,,,,
11698361,,,,,,
11698362,,,,,,
11698363,,,,,,
11698364,,,,,,
11698365,,,,,,
11698366,,,,,,
11698367,,,,,,
11698368,,,,,,
11698369,,,,,,
11698370,,,,,,
11698371,,,,,,
11698372,,,,,,
11698373,,,,,,
11698374,,,,,,
11698375,,,,,,
11698376,,,,,,
11698377,,,,,,
11698378,,,,,,
11698379,2137,3273,2436,,,1696149478
11698395,2771,3394,1874,,,1696163266
11698397,2010,2272,,,,1696161963
11698398,1844,2863,2235,,,1696153821
11698399,2516,2825,,,,1696230248
11698400,2354,5294,,,,1696144023
11698401,2081,2293,,,,1696223609
11698402,2515,2046,,,,1696145950
11698403,2135,1295,,,,1696146423
11698476,2633,2971,,,,1696154218
11698477,3315,2765,,,,1696153935
11698544,1848,3275,2094,,,1696149427
11698550,2569,3891,3807,,,1696161403
11698683,1950,2874,,,,1696151697
11698735,1357,455,,,,1696151206
11698749,1880,1909,,,,1696153212
11698757,2322,3529,4254,,,1696160990
11698861,2343,2402,,,,1696166362
11698870,,,,,,
11698871,,,,,,
11698872,,,,,,
11698873,,,,,,
11698874,,,,,,
11698875,,,,,,
11698876,,,,,,
11698877,,,,,,
11698878,,,,,,
11698879,,,,,,
11698880,,,,,,
11698881,,,,,,
11698882,,,,,,
11698883,,,,,,
11698884,,,,,,
11698885,,,,,,
11698931,,,,,,
11698932,,,,,,
11698933,,,,,,
11698934,,,,,,
11698935,,,,,,
11698936,,,,,,
11698937,,,,,,
11698938,,,,,,
11698939,,,,,,
11698940,,,,,,
11698941,,,,,,
11698942,,,,,,
11698943,,,,,,
11698944,,,,,,
11698945,,,,,,
11698946,,,,,,
11698947,,,,,,
11698949,,,,,,
11698950,,,,,,
11698951,,,,,,
11698952,,,,,,
11698953,,,,,,
11698954,,,,,,
11698955,,,,,,
11698956,,,,,,
11698957,,,,,,
11698958,,,,,,
11698959,,,,,,
11698960,,,,,,
11698961,,,,,,
11698962,,,,,,
11698963,,,,,,
11698964,,,,,,
11698965,,,,,,
11698966,,,,,,
11698967,,,,,,
