match_id,home_vote,away_vote
11673958,554,233
11673962,909,213
11673963,399,213
11673993,744,208
11674000,461,320
11674008,245,594
11674011,505,559
11674026,512,635
11674032,354,1127
11674034,836,380
11674074,778,1968
11674103,820,3129
11674105,3520,1717
11674110,2378,973
11674111,1819,3467
11674112,2760,716
11674113,3956,878
11674114,1316,1521
11675440,935,4872
11675443,6180,1458
11675444,4150,1016
11675445,2436,6851
11675446,6101,2938
11675447,8133,1538
11675448,584,3616
11675449,5621,1318
11675450,563,4603
11686269,1468,327
11686272,1318,1070
11686275,368,1421
11686276,1077,1219
11686281,424,1244
11688311,23,83
11696863,82,53
11697105,1736,723
11697107,1886,356
11697108,425,1898
11697110,1078,3245
11697112,220,890
11697113,1597,794
11697117,328,1254
11697118,985,621
11697119,1475,387
11697120,277,1658
11697121,612,1553
11697122,485,3232
11697123,1241,219
11697124,414,931
11697126,427,2222
11697152,26,45
11697216,61,55
11697223,77,59
11697237,44,63
11697262,22,104
11697278,54,127
11697304,61,113
11697306,41,119
11697309,91,43
11697316,189,83
11698042,133,91
11698055,103,79
11698354,10,5
11698355,3,7
11698356,9,1
11698357,3,0
11698358,3,1
11698359,9,5
11698360,2,7
11698361,7,2
11698362,3,0
11698363,7,0
11698364,1,0
11698365,4,13
11698366,2,1
11698367,2,5
11698368,1,2
11698369,9,7
11698370,1,2
11698371,3,4
11698372,5,2
11698373,3,2
11698374,2,2
11698375,2,6
11698376,6,0
11698377,2,7
11698378,3,4
11698379,50,113
11698395,688,868
11698397,1635,913
11698398,350,1424
11698399,393,2496
11698400,847,340
11698401,272,1952
11698402,581,764
11698403,100,55
11698476,63,115
11698477,66,28
11698544,49,132
11698550,87,67
11698683,79,32
11698735,67,60
11698749,91,83
11698757,51,58
11698861,41,89
11698870,2,1
11698871,5,7
11698872,4,5
11698873,1,1
11698874,4,6
11698875,6,4
11698876,2,2
11698877,2,2
11698878,5,4
11698879,2,2
11698880,1,2
11698881,3,1
11698882,3,3
11698883,4,0
11698884,1,1
11698885,8,2
11698931,8,0
11698932,2,7
11698933,0,7
11698934,5,1
11698935,4,1
11698936,1,4
11698937,9,1
11698938,11,5
11698939,9,4
11698940,5,1
11698941,3,3
11698942,8,2
11698943,0,7
11698944,1,6
11698945,4,1
11698946,6,0
11698947,5,4
11698949,1,2
11698950,3,1
11698951,2,3
11698952,2,1
11698953,0,2
11698954,4,0
11698955,1,2
11698956,0,1
11698957,1,0
11698958,1,4
11698959,4,1
11698960,2,1
11698961,2,1
11698962,2,2
11698963,10,1
11698964,1,1
11698965,3,5
11698966,0,1
11698967,2,1
11698968,3,5
11698969,0,4
11698970,2,2
11698971,1,4
11698972,0,4
11698973,1,4
11698974,2,1
11698975,3,1
11698976,2,1
11698977,1,1
11698978,3,0
11698979,1,3
11698980,3,0
11698984,4,5
11698985,1,0
11698986,3,3
11698987,0,1
11698988,2,2
11698989,1,5
11698990,6,4
11698991,2,4
