match_id,name,slug,gender,user_count,residence,birthplace,height,weight,plays,turned_pro,current_prize,total_prize,player_id,current_rank,name_code,country,full_name
11673958,Tirante T.,tirante-thiago-agustin,M,1519,La Plata,"La Plata, Argentina",1.85,78,right-handed,,249335,430793,221515,123,TIR,Argentina,"Tirante, Thiago Agustin"
11673962,Heide G.,heide-gustavo,M,1177,,Sao Paulo,1.88,,right-handed,,36929,87230,302582,247,HEI,Brazil,"Heide, Gustavo"
11673963,Jorda Sanchis D.,jorda-sanchis-david,M,344,Spain,"Barcelona, Spain",1.98,83,right-handed,,27028,72338,57155,331,JOR,Spain,"Jorda Sanchis, David"
11673993,Roca Batalla O.,roca-batalla-oriol,M,707,Santa Coloma de Gramenet,Barcelona,1.75,75,right-handed,,53418,317311,51100,213,ROC,Spain,"Roca Batalla, Oriol"
11674000,Crawford O.,crawford-oliver,M,442,"Spartanburg, SC","Spartanburg, SC, USA",1.8,84,right-handed,,40191,113045,213057,215,CRA,USA,"Crawford, Oliver"
11674008,Peniston R.,peniston-ryan,M,1325,"Southend-on-sea, England","Southend-on-sea, Essex",1.8,75,left-handed,,182028,509723,91240,179,PEN,United Kingdom,"Peniston, Ryan"
11674011,Shelbayh A.,shelbayh-abedallah,M,1411,,Amman,1.8,,,,104721,128500,307383,187,SHE,Jordan,"Shelbayh, Abedallah"
11674026,Machač T.,machac-tomas,M,2381,Czech republic,"Beroun, Czech Republic",1.83,73,right-handed,,358816,873971,238300,78,MAC,Czech Republic,"Machač, Tomáš"
11674032,Draper J.,draper-jack,M,5892,London,"Sutton, England",1.93,75,left-handed,2018,614923,1519143,258749,61,DRA,United Kingdom,"Draper, Jack"
11674034,Van Assche L.,van-assche-luca,M,3546,,Woluwe St Lambert,1.78,,right-handed,,528705,662296,335102,90,VAN,France,"Van Assche, Luca"
11674074,Pegula J.,pegula-jessica,F,11721,"Boca Raton, FL, USA","Buffalo, NY, USA",1.7,70,right-handed,2012,4973242,10319372,44834,5,PEG,USA,"Pegula, Jessica"
